áWbëÂí√ (551-A1),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
9.8,0.06,0.3,27.6,-34.3,,,
10.3,0.05,0.38,33.2,-19.3,,,
9.8,0.05,0.4,35.5,-2.3,,,
10.3,0.06,0.38,34.1,14.8,,,
9.9,0.06,0.31,29.4,30.5,,,
9.7,0.06,0.22,21.9,43.8,,,
9.6,0.06,0.12,12.6,55,,,
9,0.03,0.02,2,64.4,,,
8.7,0,0,0,0,,,
7.6,0,0,0,0,,,
8.1,0,0,0,0,,,
8.3,0,0,0,0,,,
7.6,0,0,0,0,,,
7.6,0,0,0,0,,,
7.4,0,0,0,0,,,
6.8,0,0,0,0,,,
6.4,0,0,0,0,,,
7.1,0,0,0,0,,,
6.5,0,0,0,0,,,
6.2,0,0,0,0,,,
6,0,0,0,0,,,
5,0.01,0.02,0,0,,,
5.1,0.11,0.12,10,-57.9,,,
5.4,0.1,0.24,19.7,-47.3,,,
5.6,0.09,0.36,27.8,-34.5,,,
6.6,0.22,0.56,33.4,-19.4,,,
6.8,0.47,0.67,35.7,-2.4,,,
7.6,0.86,0.65,34.4,14.8,,,
7.5,1.04,0.53,29.6,30.6,,,
6.8,0.16,0.33,22.2,44,,,
5.7,0.15,0.18,12.8,55.1,,,
4,0.06,0.03,2.2,64.6,,,
3.7,0,0,0,0,,,
2.9,0,0,0,0,,,
2.9,0,0,0,0,,,
2.5,0,0,0,0,,,
2.6,0,0,0,0,,,
1.7,0,0,0,0,,,
2,0,0,0,0,,,
2.1,0,0,0,0,,,
1.7,0,0,0,0,,,
1.8,0,0,0,0,,,
2.3,0,0,0,0,,,
1.6,0,0,0,0,,,
1,0,0,0,0,,,
1,0.01,0.02,0,0,,,
1.1,0.1,0.12,10.1,-58.1,,,
1.4,0.1,0.24,19.9,-47.5,,,
2.2,0.1,0.36,28,-34.7,,,
2.5,0.15,0.5,33.6,-19.6,,,
3.3,0.85,0.68,36,-2.5,,,
4.7,0.48,0.66,34.6,14.8,,,
4.7,0.61,0.56,29.9,30.6,,,
5.1,0.09,0.28,22.4,44.1,,,
4.8,0.1,0.15,13,55.2,,,
4.3,0.69,0.05,2.4,64.7,,,
3.7,0,0,0,0,,,
2.9,0,0,0,0,,,
1.9,0,0,0,0,,,
0.7,0,0,0,0,,,
0.2,0,0,0,0,,,
1.6,0,0,0,0,,,
0.6,0,0,0,0,,,
2.1,0,0,0,0,,,
2.2,0,0,0,0,,,
2.5,0,0,0,0,,,
2.4,0,0,0,0,,,
2.1,0,0,0,0,,,
1.7,0,0,0,0,,,
1.4,0.03,0.02,0,0,,,
1.7,0.92,0.17,10.2,-58.3,,,
3.1,1.96,0.22,20,-47.7,,,
5.2,2.24,0.26,28.2,-34.9,,,
6.2,2.34,0.29,33.8,-19.7,,,
7.1,2.36,0.3,36.2,-2.6,,,
7.2,0.91,0.65,34.9,14.8,,,
6.9,0.83,0.56,30.1,30.7,,,
7.2,1.3,0.36,22.6,44.2,,,
7.2,0.28,0.21,13.2,55.4,,,
7,0.27,0.04,2.6,64.9,,,
5.3,0,0,0,0,,,
5.3,0,0,0,0,,,
5.1,0,0,0,0,,,
4.8,0,0,0,0,,,
4,0,0,0,0,,,
3.7,0,0,0,0,,,
3.5,0,0,0,0,,,
3.1,0,0,0,0,,,
2.9,0,0,0,0,,,
2.9,0,0,0,0,,,
2.5,0,0,0,0,,,
2.6,0,0,0,0,,,
2.5,0,0,0,0,,,
2.5,0.01,0.02,0,0,,,
2.6,0.48,0.17,10.3,-58.6,,,
3.3,0.99,0.34,20.2,-47.9,,,
4.1,0.44,0.52,28.4,-35.1,,,
3.7,0.1,0.45,34,-19.8,,,
4.7,0.15,0.56,36.5,-2.7,,,
5.4,0.68,0.67,35.1,14.8,,,
5.7,0.24,0.5,30.4,30.8,,,
5.4,0.09,0.3,22.9,44.3,,,
4.8,0.16,0.18,13.4,55.5,,,
4.9,0.13,0.03,2.8,65,,,
4.1,0,0,0,0,,,
4.5,0,0,0,0,,,
4.3,0,0,0,0,,,
3.8,0,0,0,0,,,
2.9,0,0,0,0,,,
2.5,0,0,0,0,,,
2.3,0,0,0,0,,,
1,0,0,0,0,,,
1,0,0,0,0,,,
1.1,0,0,0,0,,,
-1,0,0,0,0,,,
-0.6,0,0,0,0,,,
-0.7,0,0,0,0,,,
-1,0.03,0.02,0,0,,,
0.7,1.2,0.16,10.5,-58.8,,,
2.6,2.02,0.21,20.4,-48.1,,,
4.7,2.31,0.24,28.6,-35.3,,,
5.4,2.41,0.27,34.3,-20,,,
6.2,2.42,0.29,36.7,-2.7,,,
7.3,2.09,0.38,35.4,14.8,,,
7.2,1.14,0.53,30.6,30.9,,,
7.3,1.1,0.39,23.1,44.4,,,
7.2,0.34,0.22,13.7,55.7,,,
6.6,0.38,0.04,3,65.2,,,
5.7,0,0,0,0,,,
5,0,0,0,0,,,
3.7,0,0,0,0,,,
4.2,0,0,0,0,,,
1.8,0,0,0,0,,,
0.9,0,0,0,0,,,
0,0,0,0,0,,,
-0.1,0,0,0,0,,,
-0.4,0,0,0,0,,,
-0.5,0,0,0,0,,,
-1.8,0,0,0,0,,,
-1.3,0,0,0,0,,,
-1.3,0,0,0,0,,,
-1.6,0.03,0.02,0,0,,,
0,1.35,0.15,10.6,-59,,,
1.7,1.97,0.22,20.5,-48.3,,,
3.5,2.23,0.26,28.8,-35.5,,,
4.5,2.34,0.29,34.5,-20.1,,,
5.8,1.68,0.51,37,-2.8,,,
5.6,0.67,0.68,35.7,14.9,,,
6.6,0.19,0.5,30.9,30.9,,,
5.4,0.3,0.39,23.3,44.6,,,
4.8,0.3,0.22,13.9,55.9,,,
4.7,1.04,0.05,3.2,65.4,,,
4.5,0,0,0,0,,,
3.9,0,0,0,0,,,
3.6,0,0,0,0,,,
3.2,0,0,0,0,,,
2.1,0,0,0,0,,,
1.4,0,0,0,0,,,
0.9,0,0,0,0,,,
0.7,0,0,0,0,,,
0.4,0,0,0,0,,,
-0.1,0,0,0,0,,,
-0.1,0,0,0,0,,,
-0.6,0,0,0,0,,,
-0.6,0,0,0,0,,,
-1.2,0.06,0.03,0,0,,,
-0.5,0.66,0.18,10.8,-59.2,,,
0.6,0.69,0.38,20.7,-48.6,,,
1.5,2.3,0.25,29,-35.7,,,
2.9,2.39,0.28,34.8,-20.3,,,
